id,pzmc,qbly,sdlx,ycd,sdbh,average,muyx,mucs,heigh,length,count,counts,countl,weightq,acutey,acutes,acutesl,compreh,?blight,lugens,averagejml,wbl,chalkylv,chalkyd,clarity,cement,starch,rank,synthesis
157,秀水103,9522/丙9610//丙0001×RHK13,粳型常规稻,浙江省嘉兴市农业科学研究院,浙审稻2009001,,,,,,,,,,,,,,,,,,,,,,,,
158,嘉早311,G00-253×Z02-404,籼型常规稻,浙江省嘉兴市农业科学研究院,浙审稻2008026,,,,,,,,,,,,,,,,,,,,,,,,
159,嘉育67,中选181×嘉育253,籼型常规稻,浙江省嘉兴市农业科学研究院,浙审稻2008025,,,,,,,,,,,,,,,,,,,,,,,,
160,甬籼15,嘉育293//鉴8/杭931×嘉育143,籼型常规稻,浙江省宁波市农业科学研究院等,浙审稻2008024,,,,,,,,,,,,,,,,,,,,,,,,
161,金早09,金早50×金早47,籼型常规稻,浙江省金华市农业科学研究院,浙审稻2008023,,,,,,,,,,,,,,,,,,,,,,,,
162,中嘉早17,中选181×嘉育253,籼型常规稻,中国水稻研究所等,浙审稻2008022,,,,,,,,,,,,,,,,,,,,,,,,
163,浙粳优1号,浙粳2A×浙粳恢04-02,粳型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2008021,,,,,,,,,,,,,,,,,,,,,,,,
164,申优693,申6A×R693,粳型三系杂交稻,上海市农业科学院作物育种栽培研究所,浙审稻2008020,,,,,,,,,,,,,,,,,,,,,,,,
165,浙优12号,浙04A×浙恢H414,粳型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2008019,,,,,,,,,,,,,,,,,,,,,,,,
166,浙优10号,8204A×浙恢9816,粳型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2008018,,,,,,,,,,,,,,,,,,,,,,,,
167,钱优100,钱江1号A×嘉恢99,籼型三系杂交稻,浙江省农业科学研究院作物与核技术利用研究所等,浙审稻2008017,,,,,,,,,,,,,,,,,,,,,,,,
168,中优9号,中9A×中恢9332,籼型三系杂交稻,中国水稻研究所,浙审稻2008016,,,,,,,,,,,,,,,,,,,,,,,,
169,宜优845,宜香1A×温恢845,籼型三系杂交稻,温州市农业科学研究院作物所,浙审稻2008015,,,,,,,,,,,,,,,,,,,,,,,,
170,内2优111,内香2A×中恢111,籼型三系杂交稻,中国水稻研究所,浙审稻2008014,,,,,,,,,,,,,,,,,,,,,,,,
171,丰优54,粤丰A×t54,籼型三系杂交稻,台州市农业科学研究院等,浙审稻2008013,,,,,,,,,,,,,,,,,,,,,,,,
172,钱优0501,钱江1号A×浙恢0501,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2008012,,,,,,,,,,,,,,,,,,,,,,,,
173,内2优3015,内香2A×内恢3015,籼型三系杂交稻,内江杂交水稻科技开发中心,浙审稻2008011,,,,,,,,,,,,,,,,,,,,,,,,
174,两优456,45S×明恢86,籼型两系杂交稻,福建省农业科学院水稻研究所,浙审稻2008010,,,,,,,,,,,,,,,,,,,,,,,,
175,Ⅱ优843,Ⅱ-32A×浙大843,粳型三系杂交稻,浙江大学农业与生物技术学院,浙审稻2008009,,,,,,,,,,,,,,,,,,,,,,,,
176,航香18,丙98-110×航香10号,粳型常规稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2008008,,,,,,,,,,,,,,,,,,,,,,,,
177,宁81,甬单6号×秀水110,粳型常规稻,宁波市农业科学研究院,浙审稻2008007,,,,,,,,,,,,,,,,,,,,,,,,
178,祥湖301,LRC×嘉花1号,粳型常规稻,浙江省嘉兴市农业科学研究院,浙审稻2008006,,,,,,,,,,,,,,,,,,,,,,,,
179,祥湖13,丙97408L/R9941×繁20/丙9408L//繁20/...,粳型常规稻,嘉兴市农业科学研究院,浙审稻2008005,,,,,,,,,,,,,,,,,,,,,,,,
180,秀水132,秀水09×K11,粳型常规稻,浙江省嘉兴市农业科学研究院,浙审稻2008004,,,,,,,,,,,,,,,,,,,,,,,,
181,宁88,宁2-2/宁98-56×秀水110,粳型常规稻,宁波市农业科学研究院,浙审稻2008003,,,,,,,,,,,,,,,,,,,,,,,,
182,浙粳28,秀水110/R9682×秀水110,粳型常规稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2008002,,,,,,,,,,,,,,,,,,,,,,,,
183,秀水123,HK21×R9941,粳型常规稻,浙江省嘉兴市农业科学研究院,浙审稻2008001,,,,,,,,,,,,,,,,,,,,,,,,
184,甬籼69,嘉育143×G95-40-3,籼型常规稻,宁波市农业科学研究院,浙审稻2007026,,,,,,,,,,,,,,,,,,,,,,,,
185,嘉早442,嘉早935/Z9538×Z00309,籼型常规稻,嘉兴市农业科学研究院,浙审稻2007025,,,,,,,,,,,,,,,,,,,,,,,,
186,嘉育173,G99-21×辐99-59,籼型常规稻,嘉兴市农业科学研究院,浙审稻2007024,,,,,,,,,,,,,,,,,,,,,,,,
187,浙农34,金早47×中9740,籼型常规稻,浙江大学农业与生物技术学院,浙审稻2007023,,,,,,,,,,,,,,,,,,,,,,,,
188,中9优1176,中9A×中恢1176,籼型三系杂交稻,中国水稻研究所,浙审稻2007022,,,,,,,,,,,,,,,,,,,,,,,,
189,培两优8007,培矮64S×中恢8007,籼型两系杂交稻,中国水稻研究所,浙审稻2007021,,,,,,,,,,,,,,,,,,,,,,,,
190,中浙优86,中浙A×T-86,籼型三系杂交稻,中国水稻研究所等,浙审稻2007020,,,,,,,,,,,,,,,,,,,,,,,,
191,D优2527,D200A×蜀恢527,籼型三系杂交稻,四川农业大学水稻研究所等,浙审稻2007019,,,,,,,,,,,,,,,,,,,,,,,,
192,白丰优48,白丰A×浙辐48,籼型三系杂交稻,浙江大学原子核农业科学研究所,浙审稻2007018,,,,,,,,,,,,,,,,,,,,,,,,
193,泸香优8号,泸香91A×T461选,籼型三系杂交稻,中国水稻研究所,浙审稻2007017,,,,,,,,,,,,,,,,,,,,,,,,
194,协优315,协青早A×浙恢M15,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2007016,,,,,,,,,,,,,,,,,,,,,,,,
195,钱优1号,钱江1号A×浙恢7954,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2007015,,,,,,,,,,,,,,,,,,,,,,,,
196,宜香10号,宜香1A×宜恢10号,籼型三系杂交稻,四川省宜宾市农业科学院,浙审稻2007014,,,,,,,,,,,,,,,,,,,,,,,,
197,甬优11号,甬粳2号A×K216211,粳型三系杂交稻,宁波市农业科学研究院作物研究所等,浙审稻2007013,,,,,,,,,,,,,,,,,,,,,,,,
198,甬优10号,甬糯2号A×K6962,粳型三系杂交稻,宁波市农业科学研究院作物研究所等,浙审稻2007012,,,,,,,,,,,,,,,,,,,,,,,,
199,甬优9号,甬粳2号A×K6093,粳型三系杂交稻,宁波市农业科学研究院作物研究所等,浙审稻2007011,,,,,,,,,,,,,,,,,,,,,,,,
200,嘉优2号,嘉60A×嘉恢30,粳型三系杂交稻,浙江海盐县种子公司等,浙审稻2007010,,,,,,,,,,,,,,,,,,,,,,,,
201,春优58,春江12A×CH58,粳型三系杂交稻,中国水稻研究所等,浙审稻2007009,,,,,,,,,,,,,,,,,,,,,,,,
202,秀优169,嘉花1号A×XR69,粳型三系杂交稻,嘉兴市农业科学研究院等,浙审稻2007008,,,,,,,,,,,,,,,,,,,,,,,,
