id,pzmc,qbly,sdlx,ycd,sdbh,average,muyx,mucs,heigh,length,count,counts,countl,weightq,acutey,acutes,acutesl,compreh,?blight,lugens,averagejml,wbl,chalkylv,chalkyd,clarity,cement,starch,rank,synthesis
286,新优365,新露A×温恢365,籼型三系杂交稻,浙江省温州市农科院浙南水稻育种中心,浙审稻2003015,,,,,,,,,,,,,,,,,,,,,,,,
287,宜香优1577,宜香1A×宜恢1577,籼型三系杂交稻,宜宾市农业科学院,浙审稻2003014,,,,,,,,,,,,,,,,,,,,,,,,
288,Ⅱ优8220,Ⅱ-32A×浙大8220,籼型三系杂交稻,浙江大学农学院等,浙审稻2003013,,,,,,,,,,,,,,,,,,,,,,,,
289,协优5968,协青早A×t5968,籼型三系杂交稻,浙江省台州市农业科学研究院等,浙审稻2003012,,,,,,,,,,,,,,,,,,,,,,,,
290,台糯1号,86-426/丙665×91-158//甲农糯/85-79,粳型常规稻,浙江省台州市农科所等,浙审稻2003011,,,,,,,,,,,,,,,,,,,,,,,,
291,浙糯3号,R9256×宁1081,粳型常规稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2003010,,,,,,,,,,,,,,,,,,,,,,,,
292,浙糯36,丙92-124×绍糯92-8,粳型常规稻,浙江省农科院作物所,浙审稻2003009,,,,,,,,,,,,,,,,,,,,,,,,
293,嘉991,武运粳7号×SGY9,粳型常规稻,浙江嘉兴市农业科学研究院,浙审稻2003008,,,,,,,,,,,,,,,,,,,,,,,,
294,秀水994,嘉59天杂×丙95-43,粳型常规稻,浙江省嘉兴市农科院,浙审稻2003007,,,,,,,,,,,,,,,,,,,,,,,,
295,浙粳30,秀水63×R9475,粳型常规稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2003006,,,,,,,,,,,,,,,,,,,,,,,,
296,秀水217,丙94-168/丙95-237×丙89-90/JF81,粳型常规稻,浙江省嘉兴市农科院,浙审稻2003005,,,,,,,,,,,,,,,,,,,,,,,,
297,秀水209,丙93-207×秀水11//宁67/嘉45,粳型常规稻,浙江省嘉兴市农科院,浙审稻2003004,,,,,,,,,,,,,,,,,,,,,,,,
298,嘉育143,嘉育293×Z94-207,籼型常规稻,浙江省嘉兴市农业科学院,浙审稻2003003,,,,,,,,,,,,,,,,,,,,,,,,
299,中早21,中早5号/嘉香3号×中优早81/科庆HA-7,籼型常规稻,中国水稻研究所,浙审稻2003002,,,,,,,,,,,,,,,,,,,,,,,,
300,嘉早312,嘉早935/Z95-05×Z96-10,籼型常规稻,浙江省嘉兴市农业科学研究所,浙审稻2003001,,,,,,,,,,,,,,,,,,,,,,,,
301,八优8号,8204A×R9525,粳型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙品审字第380号,,,,,,,,,,,,,,,,,,,,,,,,
302,甬优3号,甬粳2号A×K1863,粳型三系杂交稻,浙江省宁波市农业科学院等,浙品审字第379号,,,,,,,,,,,,,,,,,,,,,,,,
303,Ⅱ优7954,Ⅱ-32A×浙恢7954,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙品审字第378号,,,,,,,,,,,,,,,,,,,,,,,,
304,K优117,K17A×温恢117,籼型三系杂交稻,浙江省温州市农业科学研究院,浙品审字第377号,,,,,,,,,,,,,,,,,,,,,,,,
305,汕优8548,珍汕97A×浙大8548,籼型三系杂交稻,浙江大学农业与生物技术学院,浙品审字第376号,,,,,,,,,,,,,,,,,,,,,,,,
306,协优982,协青早A×金恢982,籼型三系杂交稻,浙江省金华市农业科学研究所,浙品审字第375号,,,,,,,,,,,,,,,,,,,,,,,,
307,特优37,龙特甫A×组恢37,籼型三系杂交稻,浙江大学原子核农业科学研究所,浙品审字第374号,,,,,,,,,,,,,,,,,,,,,,,,
308,春江糯2号,丙92-124×春江糯,粳型常规稻,中国水稻研究所,浙品审字第373号,,,,,,,,,,,,,,,,,,,,,,,,
309,浙大514,秀水861×丙889/浙农大40,粳型常规稻,浙江大学农业与生物技术学院,浙品审字第372号,,,,,,,,,,,,,,,,,,,,,,,,
310,绍糯9714,绍紫9012/绍糯45//绍间9×绍糯119,粳型常规稻,绍兴市农业科学研究院,浙品审字第371号,,,,,,,,,,,,,,,,,,,,,,,,
311,秀水110,嘉59天杂×丙95-13,粳型常规稻,嘉兴市农业科学研究院,浙品审字第370号,,,,,,,,,,,,,,,,,,,,,,,,
312,浙粳20,秀水63×秀水63/原粳7号,粳型常规稻,浙江省农业科学院作物所,浙品审字第369号,,,,,,,,,,,,,,,,,,,,,,,,
313,越糯2号,Z94-207×越糯1号/黑宝//嘉育293,籼型常规稻,绍兴市农业科学研究所,浙品审字第368号,,,,,,,,,,,,,,,,,,,,,,,,
314,中98-18,嘉育948×嘉兴39,籼型常规稻,中国水稻研究所,浙品审字第367号,,,,,,,,,,,,,,,,,,,,,,,,
315,中9优974,中9A×To974,籼型三系杂交稻,中国水稻研究所,浙品审字第366号,,,,,,,,,,,,,,,,,,,,,,,,
316,嘉育164,嘉育948/Z94-207×嘉兴13,籼型常规稻,浙江省嘉兴市农业科学研究院,浙品审字第365号,,,,,,,,,,,,,,,,,,,,,,,,
317,中选181,中丝3号×矮仔乌骚/中156//浙733,籼型常规稻,中国水稻研究所,浙品审字第364号,,,,,,,,,,,,,,,,,,,,,,,,
318,嘉早08,嘉早935×Z95-05,籼型常规稻,嘉兴市农科院,浙品审字第363号,,,,,,,,,,,,,,,,,,,,,,,,
319,8优161,8204A×R161,粳型三系杂交稻,上海市农业科学院作物育种栽培研究所,浙品审字第236号,,,,,,,,,,,,,,,,,,,,,,,,
320,光亚2号,M2S×T2,籼型两系杂交稻,中国水稻研究所,浙品审字第234号,,,,,,,,,,,,,,,,,,,,,,,,
321,协优7954,协青早A×浙恢7954,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙品审字第233号,,,,,,,,,,,,,,,,,,,,,,,,
322,秀水52,丙93-75×秀水63,粳型常规稻,嘉兴市农业科学研究院,浙品审字第232号,,,,,,,,,,,,,,,,,,,,,,,,
323,秀水42,秀水61×丙9290,粳型常规稻,嘉兴市农业科学研究院,浙品审字第231号,,,,,,,,,,,,,,,,,,,,,,,,
324,K优619,K17A×温恢619,籼型三系杂交稻,浙江省温州市农科院等,浙品审字第230号,,,,,,,,,,,,,,,,,,,,,,,,
325,八两优100,810S×D100,籼型两系杂交稻,湖南省安江农校,浙品审字第229号,,,,,,,,,,,,,,,,,,,,,,,,
326,温12,辐8349×浙农8010,籼型常规稻,浙江省温州市农科院浙南育种中心,浙品审字第228号,,,,,,,,,,,,,,,,,,,,,,,,
327,金早47,中87-425×陆青早1号,籼型常规稻,金华市农业科学研究所,浙品审字第227号,,,,,,,,,,,,,,,,,,,,,,,,
328,嘉兴8号,浙辐37/嘉兴35×测93-14,籼型常规稻,嘉兴市农业科学研究院,浙品审字第226号,,,,,,,,,,,,,,,,,,,,,,,,
329,瑞科26,竹菲选,籼型常规稻,浙江省瑞安市农科所,浙品审字第225号,,,,,,,,,,,,,,,,,,,,,,,,
330,浙农952,中浙1号×浙珍1号,籼型常规稻,浙江大学农学院等,浙品审字第224号,,,,,,,,,,,,,,,,,,,,,,,,
331,甬优1号,宁67A×K1722,粳型三系杂交稻,宁波市农科所等,浙品审字第215号,,,,,,,,,,,,,,,,,,,,,,,,
332,Ⅱ优3027,Ⅱ-32A×R3027,籼型三系杂交稻,浙江大学核农所等,浙品审字第214号,,,,,,,,,,,,,,,,,,,,,,,,
333,协优963,协青早A×R963,籼型三系杂交稻,浙江省农业科学院作物研究所,浙品审字第213号,,,,,,,,,,,,,,,,,,,,,,,,
334,秀水390,丙98111×丙90289,粳型常规稻,嘉兴市农业科学研究院,浙品审字第212号,,,,,,,,,,,,,,,,,,,,,,,,
335,越粳2号,绍糯119×越光,粳型常规稻,浙江省绍兴市农科所,浙品审字第211号,,,,,,,,,,,,,,,,,,,,,,,,
336,甬粳18,丙89-84×甬粳33/甬粳23,粳型常规稻,宁波市农业科学研究所,浙品审字第210号,,,,,,,,,,,,,,,,,,,,,,,,
337,春江15,B20×H89012,粳型常规稻,中国水稻研究所,浙品审字第209号,,,,,,,,,,,,,,,,,,,,,,,,
338,春江11,嘉45×秀水1067,粳型常规稻,中国水稻研究所,浙品审字第208号,,,,,,,,,,,,,,,,,,,,,,,,
339,优Ⅰ98,优ⅠA×R98,籼型三系杂交稻,中国水稻研究所,浙品审字第207号,,,,,,,,,,,,,,,,,,,,,,,,
340,嘉育16,RD95×G93-368,籼型常规稻,浙江省嘉兴市农科院,浙品审字第206号,,,,,,,,,,,,,,,,,,,,,,,,
341,嘉早12,Z91-105×优905/嘉育293//嘉早43,籼型常规稻,嘉兴市农业科学研究院,浙品审字第205号,,,,,,,,,,,,,,,,,,,,,,,,
342,杭959,杭8820×早粳4号,籼型常规稻,浙江省杭州市农科所,浙品审字第204号,,,,,,,,,,,,,,,,,,,,,,,,
343,浙辐910,浙辐219×长丝软占,籼型常规稻,浙江大学核农所等,浙品审字第203号,,,,,,,,,,,,,,,,,,,,,,,,
344,金早50,金87-38×鉴89-72,籼型常规稻,金华市农业科学研究所,浙品审字第202号,,,,,,,,,,,,,,,,,,,,,,,,
345,协优371,协青早A×组恢371,籼型三系杂交稻,浙江大学核农所等,浙品审字第197号,,,,,,,,,,,,,,,,,,,,,,,,
346,协优92,协青早A×金恢92,籼型三系杂交稻,浙江省金华市农业科学研究所,浙品审字第196号,,,,,,,,,,,,,,,,,,,,,,,,
347,Ⅱ优162,Ⅱ-32A×蜀恢162,籼型三系杂交稻,四川农业大学水稻研究所,浙品审字第195号,,,,,,,,,,,,,,,,,,,,,,,,
348,协优9308,协青早A×中恢9308,籼型三系杂交稻,中国水稻研究所,浙品审字第194号,,,,,,,,,,,,,,,,,,,,,,,,
349,Ⅱ优2070,Ⅱ-32A×T2070,籼型三系杂交稻,中国水稻研究所,浙品审字第193号,,,,,,,,,,,,,,,,,,,,,,,,
350,Ⅱ优63,Ⅱ-32A×明恢63,籼型三系杂交稻,湖南省杂交水稻中心,浙品审字第192号,,,,,,,,,,,,,,,,,,,,,,,,
351,协优9516,协青早A×R9516,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙品审字第191号,,,,,,,,,,,,,,,,,,,,,,,,
352,原粳7号,R9063×秀水861,粳型常规稻,浙江省农业科学院原子能利用研究所,浙品审字第190号,,,,,,,,,,,,,,,,,,,,,,,,
353,浙农大402,丙889/浙农大40×T89231/宁68,粳型常规稻,浙江大学农学院,浙品审字第189号,,,,,,,,,,,,,,,,,,,,,,,,
354,嘉早41,嘉育293×广陆矮4号/ZK787,籼型常规稻,嘉兴市农业科学研究院,浙品审字第187号,,,,,,,,,,,,,,,,,,,,,,,,
355,竹菲选,竹菲10号,籼型常规稻,瑞安市农业科学研究所,浙品审字第186号,,,,,,,,,,,,,,,,,,,,,,,,
356,中组1号,Basmati370,籼型常规稻,中国水稻研究所,浙品审字第185号,,,,,,,,,,,,,,,,,,,,,,,,
357,绍籼1号,越糯1号/轮回422×越糯1号,籼型常规稻,绍兴市农业科学研究所,浙品审字第184号,,,,,,,,,,,,,,,,,,,,,,,,
358,嘉早935,Z91-105×优905/嘉育293//Z91-43,籼型常规稻,浙江省嘉兴市农业科学研究所,浙品审字第183号,,,,,,,,,,,,,,,,,,,,,,,,
359,航育1号,ZR9,粳型常规稻,浙江省农业科学院,浙品审字第179号,,,,,,,,,,,,,,,,,,,,,,,,
360,汕优371,珍汕97A×R371,籼型三系杂交稻,浙江大学原子核农业科学研究所,浙品审字第178号,,,,,,,,,,,,,,,,,,,,,,,,
361,早优49辐,早红突A×温恢49辐,籼型三系杂交稻,台州市农业科学研究所,浙品审字第177号,,,,,,,,,,,,,,,,,,,,,,,,
362,浙1500,奥羽交1号×浙8619,籼型常规稻,浙江省农业科学院作物研究所,浙品审字第176号,,,,,,,,,,,,,,,,,,,,,,,,
363,明珠1号,丙8103×713,粳型常规稻,浙江省农业科学院,浙品审字第175号,,,,,,,,,,,,,,,,,,,,,,,,
364,湖43,T8×H8642,粳型常规稻,湖州市农业科学研究所,浙品审字第174号,,,,,,,,,,,,,,,,,,,,,,,,
365,秀水47,丙851×秀水72///秀水02//祥湖47/CP,粳型常规稻,嘉兴市农业科学研究院,浙品审字第173号,,,,,,,,,,,,,,,,,,,,,,,,
366,台537,台202×嘉25,粳型常规稻,台州市农业科学研究所,浙品审字第172号,,,,,,,,,,,,,,,,,,,,,,,,
367,金早22,金87-38×鉴89-72,籼型常规稻,金华市农业科学研究所,浙品审字第171号,,,,,,,,,,,,,,,,,,,,,,,,
368,嘉育948,YD4-4×嘉育293-T8,籼型常规稻,嘉兴市农业科学研究院,浙品审字第170号,,,,,,,,,,,,,,,,,,,,,,,,
369,嘉早43,嘉育293×ZK787,籼型常规稻,嘉兴市农业科学研究院,浙品审字第169号,,,,,,,,,,,,,,,,,,,,,,,,
370,辐籼8号,辐8329×辐8105/IR13471-171,籼型常规稻,浙江省农业科学院原子能利用研究所,浙品审字第168号,,,,,,,,,,,,,,,,,,,,,,,,
371,中辐906,丰4/IR9129-136-2-1×密阳23,籼型常规稻,中国水稻研究所,浙品审字第167号,,,,,,,,,,,,,,,,,,,,,,,,
372,协优914,协青早A×T914,籼型三系杂交稻,浙江省台州市农业科学研究所,浙品审字第158号,,,,,,,,,,,,,,,,,,,,,,,,
373,秀水63,善41抗/秀水61×秀水61,粳型常规稻,嘉兴市农业科学研究所,浙品审字第157号,,,,,,,,,,,,,,,,,,,,,,,,
374,新直2号,新丽秀水04-3/中嘉129×宇102/大红糯87,粳型常规稻,浙江省嘉兴市农科院等,浙品审字第156号,,,,,,,,,,,,,,,,,,,,,,,,
375,秀水17,丙815×秀水122,粳型常规稻,浙江省嘉兴市农业科学研究所,浙品审字第155号,,,,,,,,,,,,,,,,,,,,,,,,
376,越糯1号,嘉育293,籼型常规稻,浙江省绍兴市农业科学研究所,浙品审字第154号,,,,,,,,,,,,,,,,,,,,,,,,
377,衢育860,HA79317-7×中浙1号,籼型常规稻,衢州市农业科学研究所,浙品审字第153号,,,,,,,,,,,,,,,,,,,,,,,,
378,浙9248,紫珍32×浙852,籼型常规稻,浙江省农业科学院物研究所,浙品审字第152号,,,,,,,,,,,,,,,,,,,,,,,,
379,杭931,红突5号×香稻,籼型常规稻,杭州市农业科学研究所,浙品审字第151号,,,,,,,,,,,,,,,,,,,,,,,,
380,中早4号,中86-44,籼型常规稻,中国水稻研究所,浙品审字第150号,,,,,,,,,,,,,,,,,,,,,,,,
381,浙农921,中浙1号/K125-3×中浙1号,籼型常规稻,浙江农业大学,浙品审字第149号,,,,,,,,,,,,,,,,,,,,,,,,
382,七优7号,76-27A×K1457,粳型三系杂交稻,浙江省宁波市农业科学研究所,浙品审字第141号,,,,,,,,,,,,,,,,,,,,,,,,
383,秀水1067,测212/湘虎25×秀水40////秀水46///秀水11/...,粳型常规稻,嘉兴市农业科学研究院,浙品审字第140号,,,,,,,,,,,,,,,,,,,,,,,,
384,嘉45,嘉25/D293×嘉25,粳型常规稻,嘉兴市农业科学研究院,浙品审字第139号,,,,,,,,,,,,,,,,,,,,,,,,
385,中106,中156×军协/青四矮,籼型常规稻,中国水稻研究所,浙品审字第138号,,,,,,,,,,,,,,,,,,,,,,,,
386,嘉育280,嘉育293×ZK787,籼型常规稻,嘉兴市农业科学研究院,浙品审字第137号,,,,,,,,,,,,,,,,,,,,,,,,
387,浙湖894,测21×台24,粳型常规稻,浙江省农业科学院,浙品审字第129号,,,,,,,,,,,,,,,,,,,,,,,,
388,绍糯119,绍糯43×绍粳66/秀水11,粳型常规稻,浙江省绍兴市农科所,浙品审字第127号,,,,,,,,,,,,,,,,,,,,,,,,
389,协优413,协青早A×中413,籼型三系杂交稻,中国水稻研究所,浙品审字第126号,,,,,,,,,,,,,,,,,,,,,,,,
390,Ⅱ优6216,Ⅱ-32A×丽恢62-16,籼型三系杂交稻,浙江省杂交水稻开发联合体,浙品审字第125号,,,,,,,,,,,,,,,,,,,,,,,,
391,辐8970,辐85151×鉴8638,籼型常规稻,浙江省农业科学院,浙品审字第124号,,,,,,,,,,,,,,,,,,,,,,,,
392,汕优浙3,珍汕97A×浙恢3号,籼型三系杂交稻,浙江省农业科学院,浙品审字第123号,,,,,,,,,,,,,,,,,,,,,,,,
393,威优402,威20A×R402,籼型三系杂交稻,湖南省安江农业学校,浙品审字第122号,,,,,,,,,,,,,,,,,,,,,,,,
394,中丝2号,浙8619/浙8736×AT77-1,籼型常规稻,中国水稻研究所,浙品审字第121号,,,,,,,,,,,,,,,,,,,,,,,,
395,中早1号,中156×军协/青四矮,籼型常规稻,中国水稻研究所,浙品审字第120号,,,,,,,,,,,,,,,,,,,,,,,,
396,珍优48-2,珍育29A×测早2-2,籼型三系杂交稻,浙江省开发杂交稻联合体等,浙品审字第110号,,,,,,,,,,,,,,,,,,,,,,,,
397,婺青2号,甲农糯/米仁×靖江早1号,籼型常规稻,浙江省金华市农业科学研究所,浙品审字第109号,,,,,,,,,,,,,,,,,,,,,,,,
398,嘉早05,嘉育293×ZK287/双超55,籼型常规稻,浙江省嘉兴市农科所,浙品审字第108号,,,,,,,,,,,,,,,,,,,,,,,,
399,Ⅱ优92,Ⅱ-32A×金恢92,籼型三系杂交稻,浙江省金华市农业科学研究所,浙品审字第107号,,,,,,,,,,,,,,,,,,,,,,,,
400,舟903,红突80×电412,籼型常规稻,浙江省舟山市农业科学研究所,浙品审字第106号,,,,,,,,,,,,,,,,,,,,,,,,
401,杭87-91,澄溪早×二九丰,籼型常规稻,杭州市农业科学研究所,浙品审字第105号,,,,,,,,,,,,,,,,,,,,,,,,
402,秀水814,秀水24×秀水620,粳型常规稻,浙江省嘉兴市农科所,浙品审字第103号,,,,,,,,,,,,,,,,,,,,,,,,
403,秀水850,秀水37×秀水02/T81-101,粳型常规稻,嘉兴市农业科学研究所,浙品审字第102号,,,,,,,,,,,,,,,,,,,,,,,,
404,宁67,甬粳29×秀水04,粳型常规稻,宁波市农业科学研究所,浙品审字第101号,,,,,,,,,,,,,,,,,,,,,,,,
405,浙糯2号,R8617,粳型常规稻,浙江省农业科学院原子能利用研究所,浙品审字第100号,,,,,,,,,,,,,,,,,,,,,,,,
406,春江糯,秀水11×T82-25,粳型常规稻,中国水稻研究所,浙品审字第099号,,,,,,,,,,,,,,,,,,,,,,,,
407,台202,秀水11×76-27/农垦58,粳型常规稻,台州市农业科学研究所,浙品审字第098号,,,,,,,,,,,,,,,,,,,,,,,,
408,浙农8010,科情3号/IR29×8004,籼型常规稻,浙江农业大学,浙品审字第097号,,,,,,,,,,,,,,,,,,,,,,,,
409,中选5号,泸红早1号×辐籼6号,籼型常规稻,中国水稻研究所,浙品审字第096号,,,,,,,,,,,,,,,,,,,,,,,,
410,嘉育293,浙辐802/科庆47//二九丰///早丰6号/水原287×H...,籼型常规稻,嘉兴市农业科学研究所,浙品审字第095号,,,,,,,,,,,,,,,,,,,,,,,,
411,汕优48-2,珍汕97A×测早2-2,籼型三系杂交稻,浙江省武义县种子公司,浙品审字第080号,,,,,,,,,,,,,,,,,,,,,,,,
412,汕优6216,珍汕97A×丽恢62-16,籼型三系杂交稻,浙江省丽水地区农业科学研究所,浙品审字第079号,,,,,,,,,,,,,,,,,,,,,,,,
413,汕优92,珍汕97A×金恢92,籼型三系杂交稻,金华市农业科学研究所,浙品审字第078号,,,,,,,,,,,,,,,,,,,,,,,,
414,威优48-2,威20A×测早2-2,籼型三系杂交稻,浙江省武义县金华市省种子公司,浙品审字第071号,,,,,,,,,,,,,,,,,,,,,,,,
415,中育1号,广陆矮4号×IR64,籼型常规稻,中国水稻研究所等,浙品审字第070号,,,,,,,,,,,,,,,,,,,,,,,,
416,浙733,禾珍早×赤块矮选,籼型常规稻,浙江省农业科学院作物与核技术利用研究所,浙品审字第069号,,,,,,,,,,,,,,,,,,,,,,,,
417,嘉育73,二九丰/194×矮早21,籼型常规稻,浙江省嘉兴市农科所,浙品审字第068号,,,,,,,,,,,,,,,,,,,,,,,,
418,七优6号,76-27A×2674,粳型三系杂交稻,浙江省农业科学院作物研究所,浙品审字第059号,,,,,,,,,,,,,,,,,,,,,,,,
419,协优46,协青早A×密阳46,籼型三系杂交稻,中国水稻研究所等,浙品审字第058号,,,,,,,,,,,,,,,,,,,,,,,,
420,汕优10号,珍汕97A×密阳46,籼型三系杂交稻,中国水稻研究所等,浙品审字第051号,,,,,,,,,,,,,,,,,,,,,,,,
421,中嘉129,农虎3-2×大淀,粳型常规稻,中国水稻研究所等,浙品审字第050号,,,,,,,,,,,,,,,,,,,,,,,,
422,浙852,浙辐802×水原290,籼型常规稻,浙江省农业科学院作物与核技术利用研究所,浙品审字第048号,,,,,,,,,,,,,,,,,,,,,,,,
423,汕优85,珍汕97A×台八-5,籼型三系杂交稻,中国水稻研究所,浙品审字第043号,,,,,,,,,,,,,,,,,,,,,,,,
424,祥湖84,C18-45×秀水04,粳型常规稻,嘉兴市农业科学研究所,浙品审字第042号,,,,,,,,,,,,,,,,,,,,,,,,
425,祥湖25,矮粳23/祥湖14×测21/矮粳23,粳型常规稻,浙江省嘉兴市农业科学研究所,浙品审字第041号,,,,,,,,,,,,,,,,,,,,,,,,
426,秀水11,测21×测21/湘虎25,粳型常规稻,嘉兴市农业科学研究所,浙品审字第040号,,,,,,,,,,,,,,,,,,,,,,,,
427,辐8-1,8004,籼型常规稻,中国水稻研究所等,浙品审字第039号,,,,,,,,,,,,,,,,,,,,,,,,
428,矮糯21,矮双2号×测21,粳型常规稻,绍兴市农业科学研究所,浙品审字第032号,,,,,,,,,,,,,,,,,,,,,,,,
429,汕优64,珍汕97A×测64-7,籼型三系杂交稻,浙江省种子公司等,浙品审字第027号,,,,,,,,,,,,,,,,,,,,,,,,
430,竹菲10号,竹莲矮×菲改选,籼型常规稻,中国水稻研究所等,浙品审字第022号,,,,,,,,,,,,,,,,,,,,,,,,
431,浙辐802,四梅2号,籼型常规稻,浙江农业大学等,浙品审字第021号,,,,,,,,,,,,,,,,,,,,,,,,
432,二九丰,IR29×原丰早,籼型常规稻,浙江省嘉兴市农业科学研究所,浙品审字第020号,,,,,,,,,,,,,,,,,,,,,,,,
433,祥湖24,辐农709/京引154//辐农709×辐农709,粳型常规稻,嘉兴市农业科学研究所,浙品审字第008号,,,,,,,,,,,,,,,,,,,,,,,,
434,湘虎25,农虎6号×湘粳8号,粳型常规稻,浙江农业大学等,浙品审字第007号,,,,,,,,,,,,,,,,,,,,,,,,
435,浙粳66,矮粳23×百哥,粳型常规稻,浙江省农业科学院作物与核技术利用研究所,浙品审字第006号,,,,,,,,,,,,,,,,,,,,,,,,
436,秀水48,辐农709/京引154×辐农709,粳型常规稻,浙江省嘉兴市农业科学研究所,浙品审字第005号,,,,,,,,,,,,,,,,,,,,,,,,
437,台早5号,芜科1号×二九青,籼型常规稻,浙江省台州市农业科学研究院,浙品审字第004号,,,,,,,,,,,,,,,,,,,,,,,,
438,双科1号,IR24×科辐早,籼型常规稻,浙江农业大学等,浙品审字第003号,,,,,,,,,,,,,,,,,,,,,,,,
439,庆莲16,共庆21×竹莲矮,籼型常规稻,江苏丘陵地区镇江农业科学研究所,浙品审字第002号,,,,,,,,,,,,,,,,,,,,,,,,
440,四梅2号,IR24×科梅,籼型常规稻,浙江大学农业与生物技术学院等,浙品审字第001号,,,,,,,,,,,,,,,,,,,,,,,,
